date_fraction,sp_monthly_return,monthly_inflation,bond_monthly_return,sp_annual_return,annual_inflation,bond_annual_return
1876.13,0.01905829596,0,0.3815277778,-0.1493018669,0.01041511265,4.578333333
1876.21,0.003318584071,0,0.3805555556,-0.2209024164,-0.01566984888,4.566666667
1876.29,-0.03215077605,-0.008766297025,0.3795833333,-0.2683203019,-0.06031426638,4.555
1876.38,-0.03110599078,-0.0353978972,0.3786111111,-0.3018030695,-0.02351274295,4.543333333
1876.46,-0.001196172249,-0.0275285235,0.3776388889,-0.2634918633,0.03007077151,4.531666667
1876.54,-0.006024096386,0,0.3766666667,-0.326779818,0.00402447378,4.52
1876.63,-0.03536585366,0.009435932099,0.3756944444,-0.2696018754,0.01346040588,4.508333333
1876.71,-0.05470737913,0.009347726594,0.3747222222,-0.1574319282,-0.03335848118,4.496666667
1876.79,0.00135501355,0.01851443196,0.37375,-0.03448684417,-0.05241695155,4.485
1876.87,-0.01226158038,0.009092808628,0.3727777778,-0.00887940916,-0.07093138352,4.473333333
1876.96,0.001388888889,0.01802174894,0.3718055556,-0.00670846322,-0.09962778073,4.461666667
1877.04,-0.001610800745,0.01769518215,0.3708333333,-0.006307986055,-0.1176495297,4.45
1877.12,-0.05254225352,-0.02608496153,0.3700694444,0.0001540967409,-0.1653508408,4.440833333
1877.21,-0.0440993014,-0.0446444175,0.3693055556,0.03598609385,-0.1495685531,4.431666667
1877.29,-0.06563354364,0.0280352264,0.3685416667,0.1038668418,-0.1257617178,4.4225
1877.37,0.00720521542,0.01818561726,0.3677777778,0.2020801179,-0.1644374578,4.413333333
1877.46,-0.06448412698,-0.05357482122,0.3670138889,0.2025275552,-0.2148787775,4.404166667
1877.54,0.05115384615,0.009435932099,0.36625,0.2925855345,-0.1835213443,4.395
1877.62,0.07680409357,-0.03738295496,0.3654861111,0.2664610138,-0.1816010048,4.385833333
1877.71,0.06823770492,-0.009710743776,0.3647222222,0.1854255984,-0.1329797305,4.376666667
1877.79,0.02696244856,0,0.3639583333,0.1418859611,-0.1232689867,4.3675
1877.87,-0.01009063444,-0.01960358859,0.3631944444,0.107861486,-0.1343824098,4.358333333
1877.96,0.001789366053,0,0.3624305556,0.1194080592,-0.1260075761,4.349166667
1878.04,0.004851282051,-0.03000612894,0.3616666667,0.1161777709,-0.1487394655,4.34
1878.12,-0.01671025641,-0.0103026739,0.3608333333,0.1533965372,-0.1071030126,4.33
1878.21,0.02378144654,-0.02083758218,0.36,0.2106864025,-0.08530372414,4.32
1878.29,0.03257973251,-0.01064051361,0.3591666667,0.174887885,-0.07583208665,4.31
1878.37,0.007652652653,-0.03225570241,0.3583333333,0.1794474219,-0.07668818762,4.3
1878.46,0.0255738523,-0.02221738804,0.3575,0.2210498533,-0.04443248521,4.29
1878.54,0.02502932551,0.01135627164,0.3566666667,0.2045707556,-0.03384146193,4.28
1878.62,-0.004231321839,0.01123831929,0.3558333333,0.2037775412,-0.0334346064,4.27
1878.71,0.02469806763,0,0.355,0.2194218169,-0.04467292569,4.26
1878.79,-0.007062026515,-0.01111342309,0.3541666667,0.2355714151,-0.009791851948,4.25
1878.87,0.001455938697,-0.01122875485,0.3533333333,0.3555224621,0.05750360316,4.24
1878.96,-0.00144092219,-0.02273188939,0.3525,0.4110163098,0.1219258705,4.23
1879.04,0.04207004831,0.01163032393,0.3516666667,0.413809497,0.1749584452,4.22
1879.12,0.04057960894,0.01149661458,0.3502777778,0.4138295571,0.1927460224,4.203333333
1879.21,-0.01201707098,-0.0113659447,0.3488888889,0.3942871301,0.1812494078,4.186666667
1879.29,0.03713926941,-0.01149661458,0.3475,0.4289804832,0.2021329856,4.17
1879.37,0.049255084,0,0.3461111111,0.3726588238,0.1758939023,4.153333333
1879.46,0.009094754653,-0.01162636476,0.3447222222,0.2478728518,0.1464843467,4.136666667
1879.54,0.02423611111,0.01176312717,0.3433333333,0.2469891384,0.1379045223,4.12
1879.62,0.0114129538,0,0.3419444444,0.2727704246,0.1261413951,4.103333333
1879.71,0.04084766585,0.03488107375,0.3405555556,0.3012776305,0.1261413951,4.086666667
1879.79,0.1128890205,0.05618203201,0.3391666667,0.2624370295,0.101571771,4.07
1879.87,0.05694978632,0.05319351251,0.3377777778,0.182527417,0.045389739,4.053333333
1879.96,0.001352265044,0.03030068529,0.3363888889,0.1820973305,0.002402435425,4.036666667
1880.04,0.0420901084,0.02941790113,0.335,0.2256054338,-0.01779515533,4.02
1880.12,0.021037182,0,0.3327777778,0.2472282249,-0.05721509941,3.993333333
1880.21,0.02267628205,0.0095176331,0.3305555556,0.2265949202,-0.04711200488,3.966666667
1880.29,-0.01918238994,-0.03773569789,0.3283333333,0.2189780654,-0.05662963798,3.94
1880.37,-0.07553088803,-0.0294095556,0.3261111111,0.2386946434,-0.008900409548,3.913333333
1880.46,0.00821104123,-0.02020618916,0.3238888889,0.3630599366,0.01061449798,3.886666667
1880.54,0.05001739736,0,0.3216666667,0.3708745364,0.03082068714,3.86
1880.62,0.03992015968,0,0.3194444444,0.2896388006,0.04081421768,3.833333333
1880.71,0.002007064868,0.01031144963,0.3172222222,0.2300336016,0.06062037028,3.806666667
1880.79,0.03297940798,0,0.315,0.2401905152,0.08914363188,3.78
1880.87,0.05651969981,0.01020620893,0.3127777778,0.1953444406,0.09849135847,3.753333333
1880.96,0.04486036839,0.01010309453,0.3105555556,0.1495970985,0.0790239937,3.726666667
1881.04,0.06371289954,-0.01000204294,0.3083333333,0.07996559385,0.06892089917,3.7
1881.12,0.0004038772213,0.01010309453,0.3077777778,0.005714702068,0.07892294211,3.693333333
1881.21,0.01505942734,0,0.3072222222,-0.01214413011,0.07816757418,3.686666667
1881.29,0.0005341880342,0.009993530539,0.3066666667,-0.02432503125,0.07816757418,3.68
1881.37,0.04883440514,-0.009894648071,0.3061111111,-0.02024560913,0.07743520046,3.673333333
1881.46,0.01602564103,0,0.3055555556,-0.07657713077,0.096498214,3.666666667
1881.54,-0.0312183384,0.009993530539,0.305,-0.09318654296,0.1055910226,3.66
1881.62,-0.01968503937,0.0198061526,0.3044444444,-0.000935340711,0.08658661762,3.653333333
1881.71,0.01216397849,0.03883471122,0.3038888889,0.0531941431,0.07587327365,3.646666667
1881.79,-0.01186666667,0.009347726594,0.3033333333,0.05505389708,0.01001360768,3.64
1881.87,0.01077235772,-0.009261155841,0.3027777778,0.04395047828,-0.008595274759,3.633333333
1881.96,-0.02477113624,0,0.3022222222,-0.005262296801,-0.008681846494,3.626666667
1882.04,-0.01053799224,0,0.3016666667,0.02926213835,-0.01810974828,3.62
1882.12,-0.01745495495,0.009347726594,0.3017361111,0.03924076985,-0.01810974828,3.620833333
1882.21,0.002878526195,0,0.3018055556,0.03893468063,-0.01793984178,3.621666667
1882.29,0.00461361015,0.009261156815,0.301875,0.05311161219,-0.02736774357,3.6225
1882.37,-0.007497116494,0.009168365478,0.3019444444,0.0740530745,-0.04615464022,3.623333333
1882.46,-0.0005837711617,0.009092808628,0.3020138889,0.06911691445,-0.06494035783,3.624166667
1882.54,0.06103286385,-0.009010874471,0.3020833333,0.08306001547,-0.1031571334,3.625
1882.62,0.03444444444,0.009092808628,0.3021527778,0.01122818255,-0.1141503449,3.625833333
1882.71,0.01402373247,-0.02702495475,0.3022222222,-0.06384017114,-0.1232431535,3.626666667
1882.79,-0.02297008547,-0.009261155841,0.3022916667,-0.06190564645,-0.1064244076,3.6275
1882.87,-0.03844041735,-0.009347727577,0.3023611111,-0.06111307756,-0.09716325178,3.628333333
1882.96,0.00975329891,-0.00942790179,0.3024305556,-0.002703639139,-0.09811819811,3.629166667
1883.04,-0.0005593607306,0,0.3025,-0.02939832999,-0.07828037236,3.63
1883.12,-0.01776104418,0.0095176331,0.3024305556,-0.05367823268,-0.07828037236,3.629166667
1883.21,0.01705545775,-0.00942790179,0.3023611111,-0.003634369971,-0.08779800546,3.628333333
1883.29,0.02555507246,-0.009525739839,0.3022916667,-0.01935837408,-0.07837010367,3.6275
1883.37,-0.01243327655,-0.009617352133,0.3022222222,-0.08511313208,-0.08945848747,3.626666667
1883.46,0.01335932987,-0.02912396694,0.3021527778,-0.1484094339,-0.1008981056,3.625833333
1883.54,-0.01079896907,-0.02000408599,0.3020833333,-0.1968942118,-0.07177413865,3.625
1883.62,-0.04062390925,0,0.3020138889,-0.1801479333,-0.06251585142,3.624166667
1883.71,0.01595825716,-0.01020620882,0.3019444444,-0.07082634098,-0.06251585142,3.623333333
1883.79,-0.02217751658,0,0.301875,-0.1128921931,-0.06318142036,3.6225
1883.87,0.01996902107,-0.0103026739,0.3018055556,-0.117706325,-0.07417269279,3.621666667
1883.96,-0.01694139194,0.01040992395,0.3017361111,-0.1520953911,-0.08608740693,3.620833333
